path_id, final_price
0,233.205
1,160.647
2,201.933
3,174.48
4,208.995
5,251.039
6,205.416
7,167.858
8,156.244
9,176.598
10,175.369
11,193.013
12,343.387
13,252.538
14,114.718
15,183.93
16,121.257
17,201.227
18,171.961
19,183.742
20,173.495
21,232.71
22,170.821
23,203.238
24,244.625
25,127.335
26,239.759
27,131.464
28,191.255
29,222.907
30,225.69
31,166.565
32,316.779
33,218.285
34,213.532
35,182.682
36,203.461
37,218.516
38,228.739
39,207.942
40,181.669
41,153.384
42,167.954
43,196.321
44,304.816
45,217.846
46,216.359
47,185.114
48,244.405
49,216.727
50,215.793
51,182.853
52,157.33
53,171.644
54,212.007
55,159.855
56,152.418
57,238.396
58,216.429
59,243.715
60,249.359
61,231.448
62,206.127
63,232.043
64,172.274
65,164.6
66,162.448
67,261.844
68,188.861
69,207.1
70,180.23
71,146.366
72,191.949
73,162.361
74,178.542
75,151.98
76,169.416
77,115.018
78,220.452
79,261.35
80,226.868
81,202.567
82,209.048
83,218.393
84,216.7
85,219.444
86,253.425
87,132.969
88,205.895
89,143.542
90,168.495
91,288.663
92,210.208
93,176.849
94,203.079
95,166.967
96,118.854
97,143.105
98,145.348
99,206.926
100,296.054
101,199.295
102,168.925
103,209.817
104,158.567
105,268.65
106,194.746
107,172.903
108,226.732
109,275.921
110,238.129
111,183.658
112,126.285
113,167.578
114,179.866
115,137.29
116,223.724
117,175.797
118,191.943
119,327.502
120,160.836
121,167.216
122,238.303
123,207.074
124,211.704
125,236.183
126,200.114
127,207.418
128,213.678
129,172.231
130,163.811
131,226.603
132,216.72
133,212.111
134,254.357
135,108.96
136,160.135
137,217.231
138,128.112
139,205.053
140,186.98
141,206.346
142,222.733
143,298.474
144,218.866
145,230.97
146,158.752
147,232.098
148,157.856
149,242.257
150,186.06
151,178.516
152,165.947
153,228.761
154,193.908
155,128.303
156,224.355
157,221.168
158,173.74
159,134.571
160,211.304
161,244.965
162,139.167
163,230.445
164,151.17
165,210.747
166,153.179
167,204.966
168,233.28
169,312.622
170,250.779
171,238.619
172,188.618
173,314.567
174,176.617
175,208.656
176,143.443
177,123.305
178,207.299
179,147.654
180,173.372
181,174.081
182,144.025
183,219.839
184,149.557
185,140.358
186,223.749
187,234.533
188,188.466
189,182.148
190,209.606
191,214.561
192,164.475
193,223.471
194,140.351
195,222.827
196,201.184
197,223.754
198,239.514
199,335.134
200,189.267
201,147.784
202,171.737
203,211.674
204,303.781
205,149.765
206,244.22
207,203.343
208,206.435
209,195.107
210,226.663
211,154.795
212,215.371
213,227.193
214,222.941
215,190.485
216,177.239
217,220.142
218,233.797
219,162.804
220,139.388
221,164.267
222,138.502
223,167.356
224,236.121
225,227.193
226,224.703
227,222.657
228,284.999
229,252.767
230,167.904
231,265.476
232,175.839
233,208.418
234,180.898
235,202.731
236,284.989
237,173.655
238,192.307
239,200.838
240,193.062
241,251.667
242,156.835
243,171.965
244,189.097
245,314.542
246,148.92
247,243.468
248,265.174
249,249.077
250,210.249
251,221.128
252,127.353
253,202.699
254,182.66
255,158.123
256,240.202
257,204.295
