path_id, final_price
0,242.001
1,167.576
2,209.971
3,181.796
4,217.211
5,260.241
6,213.542
7,174.99
8,163.047
9,183.971
10,182.709
11,200.823
12,354.42
13,261.772
14,120.23
15,191.501
16,126.984
17,209.248
18,179.207
19,191.309
20,180.784
21,241.494
22,178.036
23,211.309
24,253.683
25,133.258
26,248.707
27,137.518
28,199.019
29,231.461
30,234.31
31,173.661
32,327.326
33,226.728
34,221.859
35,190.22
36,211.538
37,226.965
38,237.43
39,216.131
40,189.18
41,160.103
42,175.089
43,204.216
44,315.134
45,226.278
46,224.755
47,192.717
48,253.458
49,225.132
50,224.175
51,190.396
52,164.164
53,178.882
54,220.297
55,166.762
56,159.109
57,247.313
58,224.827
59,252.752
60,258.522
61,240.204
62,214.271
63,240.813
64,179.529
65,171.642
66,169.428
67,271.282
68,196.563
69,215.268
70,187.702
71,152.877
72,199.731
73,169.339
74,185.968
75,158.658
76,176.592
77,120.539
78,228.947
79,270.777
80,235.516
81,210.622
82,217.264
83,226.838
84,225.104
85,227.915
86,262.68
87,139.071
88,214.033
89,149.969
90,175.645
91,298.66
92,218.453
93,184.229
94,211.146
95,174.075
96,124.503
97,149.518
98,151.829
99,215.09
100,306.2
101,207.267
102,176.088
103,218.053
104,165.436
105,278.233
106,202.601
107,180.176
108,235.377
109,285.657
110,247.039
111,191.222
112,132.175
113,174.702
114,187.328
115,143.526
116,232.298
117,183.149
118,199.725
119,338.248
120,167.77
121,174.331
122,247.217
123,215.241
124,219.986
125,245.048
126,208.106
127,215.594
128,222.008
129,179.485
130,170.83
131,235.245
132,225.125
133,220.403
134,263.632
135,114.277
136,167.049
137,225.648
138,134.061
139,213.17
140,194.632
141,214.496
142,231.283
143,308.667
144,227.323
145,239.714
146,165.627
147,240.869
148,164.705
149,251.261
150,193.688
151,185.942
152,173.026
153,237.453
154,201.741
155,134.258
156,232.943
157,229.68
158,181.036
159,140.722
160,219.576
161,254.03
162,145.46
163,239.177
164,157.824
165,219.005
166,159.893
167,213.081
168,242.078
169,323.089
170,259.974
171,247.54
172,196.313
173,325.072
174,183.991
175,216.863
176,149.867
177,129.099
178,215.472
179,154.204
180,180.657
181,181.386
182,150.467
183,228.319
184,156.163
185,146.688
186,232.323
187,243.361
188,196.158
189,189.672
190,217.836
191,222.913
192,171.513
193,232.039
194,146.681
195,231.379
196,209.204
197,232.328
198,248.456
199,346.02
200,196.979
201,154.338
202,178.978
203,219.955
204,314.078
205,156.377
206,253.269
207,211.417
208,214.587
209,202.971
210,235.306
211,161.555
212,223.743
213,235.849
214,231.496
215,198.229
216,184.63
217,228.63
218,242.607
219,169.794
220,145.689
221,171.298
222,144.775
223,174.475
224,244.984
225,235.848
226,233.3
227,231.205
228,294.923
229,262.007
230,175.038
231,274.992
232,183.192
233,216.619
234,188.388
235,210.789
236,294.912
237,180.949
238,200.099
239,208.848
240,200.873
241,260.883
242,163.654
243,179.212
244,196.805
245,325.046
246,155.508
247,252.5
248,274.684
249,258.234
250,218.495
251,229.639
252,133.277
253,210.757
254,190.197
255,164.979
256,249.16
257,212.393
258,175.845
259,212.901
260,199.679
261,233.331
262,152.136
263,188.177
264,205.095
265,154.107
266,247.34
267,254.222
268,184.203
269,156.136
270,177.451
271,248.462
272,180.171
273,190.869
274,164.117
275,194.326
276,226.303
277,177.681
278,278.767
279,219.399
280,148.803
281,198.699
282,190.02
283,222.976
284,211.741
285,344.536
286,309.747
287,156.521
288,180.555
289,167.732
290,332.036
291,173.626
292,222.975
293,179.614
294,203.201
295,135.498
296,171.298
297,197.043
298,210.287
299,223.888
300,173.081
301,194.007
302,232.879
303,221.844
304,197.885
305,166.529
306,270.081
307,163.93
308,128.396
309,177.374
310,384.857
311,222.739
312,213.721
313,271.482
314,241.384
315,166.813
316,156.395
317,204.497
318,150.937
319,225.101
320,254.581
321,241.413
322,241.395
323,155.189
324,172.253
325,173.299
326,221.259
327,170.025
328,206.443
329,238.788
330,166.73
331,140.416
332,225.545
333,212.528
334,146.899
335,245.505
336,158.364
337,262.053
338,303.187
339,200.666
340,184.651
341,303.886
342,213.121
343,203.183
344,268.959
345,274.143
346,167.142
347,276.782
348,183.966
349,158.984
350,287.89
351,196.317
352,192.274
353,182.291
354,214.248
355,220.551
356,192.21
357,134.571
358,321.882
359,285.442
360,217.188
361,217.02
362,231.148
363,140.052
364,245.98
365,164.903
366,315.56
367,208.268
368,156.764
369,169.096
370,141.73
371,234.469
372,205.986
373,263.808
374,277.155
375,154.967
376,336.479
377,254.765
378,151.006
379,207.269
380,193.516
381,133.355
382,277.932
383,182.181
384,174.737
385,247.785
386,193.599
387,250.782
388,224.624
389,245.064
390,151.407
391,154.271
392,204.187
393,201.319
394,146.792
395,149.242
396,208.623
397,206.084
398,261.46
399,224.059
400,153.591
401,165.943
402,238.321
403,196.526
404,214.846
405,183.102
406,196.94
407,287.364
408,160.614
409,262.943
410,195.702
411,239.168
412,179.524
413,208.428
414,187.484
415,201.826
416,191.434
417,255.723
418,135.959
419,169.931
420,259.765
421,255.798
422,251.025
423,221.542
424,294.542
425,188.209
426,157.722
427,155.887
428,157.045
429,193.977
430,150.196
431,201.91
432,162.186
433,196.707
434,140.261
435,201.923
436,156.502
437,203.204
438,269.447
439,216.101
440,181.255
441,202.947
442,183.701
443,244.149
444,188.501
445,237.022
446,220.175
447,319.407
448,211.285
449,206.632
450,234.587
451,223.286
452,250.213
453,194.235
454,180.167
455,239.023
456,246.278
457,196.714
458,175.757
459,199.499
460,170.961
461,153.341
462,196.824
463,219.594
464,143.653
465,201.473
466,210.162
467,235.9
468,220.513
469,203.435
470,168.67
471,202.989
472,237.033
473,237.889
474,187.125
475,228.391
476,187.238
477,200.685
478,175.141
479,141.169
480,189.038
481,182.861
482,211.282
483,145.224
484,249.284
485,129.086
486,217.773
487,199.959
488,183.036
489,195.506
490,240.524
491,199.329
492,290.237
493,162.377
494,151.408
495,204.347
496,196.194
497,207.555
498,188.055
499,242.013
500,204.372
501,320.601
502,283.651
503,229.678
504,180.809
505,163.36
506,182.202
507,223.55
508,201.939
509,138.627
510,149.657
511,150.673
512,186.362
513,385.79
514,236.312
515,339.586
516,165.339
517,119.997
518,338.183
519,165.936
520,195.507
521,195.51
522,181.737
523,353.903
524,209.629
525,198.944
526,244.035
527,214.894
528,211.282
529,121.68
530,228.516
531,317.629
532,246.976
533,169.821
534,233.857
535,197.29
536,231.615
537,229.2
538,231.968
539,118.816
540,223.508
541,231.228
542,240.267
543,219.752
544,247.231
545,265.72
546,227.3
547,220.443
548,168.277
549,163.552
550,194.022
551,144.377
552,153.85
553,169.863
554,141.198
555,202.049
556,180.352
557,155.768
558,159.053
559,205.335
560,262.187
561,161.263
562,145.435
563,209.439
564,189.769
565,201.757
566,230.894
567,246.793
568,207.343
569,199.839
570,214.019
571,254.433
572,203.637
573,258.55
574,218.301
575,250.633
576,228.126
577,181.089
578,248.34
579,167.277
580,257.939
581,197.488
582,159.048
583,225.801
584,302.234
585,211.972
586,208.103
587,232.599
588,197.212
589,263.093
590,289.053
591,272.266
592,187.047
593,168.956
594,101.192
595,213.8
596,162.812
597,122.04
598,225.34
599,229.254
600,220.435
601,227.856
602,188.301
603,228.771
604,185.781
605,171.338
606,205.13
607,204.48
608,152
609,134.607
610,137.89
611,154.542
612,167.3
613,238.574
614,191.66
615,263.394
616,137.391
617,184.215
618,191.315
619,353.817
620,133.65
621,184.206
622,208.054
623,157.172
624,147.777
625,176.209
626,183.696
627,140.606
628,238.784
629,162.783
630,186.571
631,234.086
632,137.299
633,157.301
634,135.4
635,210.083
636,152.025
637,144.061
638,244.134
639,94.1907
640,169.116
641,281.848
642,231.754
643,197.153
644,162.7
645,249.221
646,148.802
647,187.793
648,239.132
649,168.437
650,213.443
651,221.824
652,266.073
653,155.691
654,136.651
655,164.35
656,123.887
657,143.95
658,160.991
659,162.168
660,232.817
661,195.425
662,239.592
663,333.649
664,364.088
665,193.952
666,278.893
667,176.93
668,167.418
669,160.77
670,215.834
671,134.535
672,207.008
673,277.122
674,174.462
675,253.469
676,229.529
677,204.831
678,199.087
679,285.582
680,194.134
681,183.478
682,311.607
683,231.988
684,224.865
685,195.309
686,229.502
687,131.453
688,139.967
689,200.621
690,253.513
691,198.285
692,264.502
693,208.203
694,282.978
695,265.237
696,186.184
697,182.747
698,231.681
699,189.589
700,228.298
701,197.36
702,180.032
703,141.271
704,300.502
705,150.394
706,180.406
707,209.218
708,170.716
709,246.327
710,229.606
711,133.462
712,150.185
713,150.225
714,166.809
715,245.039
716,182.187
717,251.745
718,205.191
719,164.151
720,178.843
721,233.099
722,211.072
723,129.383
724,196.303
725,168.798
726,137.586
727,210.041
728,172.018
729,173.141
730,172.013
731,233.063
732,252.641
733,219.825
734,159.716
735,254.752
736,195.832
737,213.151
738,224.401
739,238.193
740,168.438
741,142.987
742,120.242
743,174.153
744,247.406
745,217.103
746,217.813
747,196.183
748,164.853
749,223.083
750,227.053
751,191.238
752,192.405
753,270.985
754,250.705
755,224.727
756,137.265
757,291.56
758,209.663
759,168.857
760,216.165
761,147.188
762,176.147
763,99.1807
764,202.039
765,239.603
766,133.783
767,217.294
768,161.537
769,210.588
770,258.666
771,115.987
772,153.745
773,147.273
774,245.269
775,211.677
776,224.551
777,161.896
778,200.024
779,190.195
780,177.989
781,134.909
782,156.701
783,154.561
784,228.695
785,198.119
786,151.206
787,240.76
788,180.273
789,266.554
790,156.372
791,323.388
792,294.319
793,139.246
794,248.836
795,233.222
796,167.333
797,221.422
798,184.907
799,145.427
800,162.993
801,129.07
802,187.782
803,314.653
804,149.616
805,205.769
806,258.035
807,147.481
808,239.878
809,199.617
810,140.451
811,248.001
812,161.11
813,209.291
814,192.153
815,252.278
816,150.9
817,133.468
818,193.961
819,163.189
820,213.837
821,263.942
822,168.53
823,205.059
824,192.52
825,176.162
826,181.97
827,276.369
828,255.142
829,284.115
830,212.471
831,140.972
832,282.525
833,119.478
834,154.268
835,163
836,190.03
837,234.878
838,297.954
839,218.573
840,255.556
841,337.014
842,113.987
843,137.388
844,201.929
845,122.908
846,205.516
847,192.588
848,186.656
849,312.306
850,207.046
851,214.504
852,221.573
853,225.761
854,232.794
855,178.172
856,192.742
857,187.234
858,200.852
859,152.846
860,225.963
861,242.839
862,208.044
863,209.813
864,199.516
865,215.801
866,261.677
867,222.821
868,124.926
869,175.829
870,165.943
871,241.085
872,218.989
873,137.041
874,156.669
875,290.689
876,150.604
877,222.015
878,226.86
879,364.018
880,166.904
881,117.934
882,268.816
883,198.246
884,164.519
885,280.577
886,210.584
887,208.901
888,145.802
889,282.682
890,150.989
891,179.16
892,184.003
893,260.835
894,202.116
895,193.422
896,172.054
897,185.419
898,256.039
899,102.777
900,266.541
901,141.976
902,138.45
903,188.481
904,167.105
905,263.281
906,226.298
907,162.176
908,246.257
909,215.434
910,160.07
911,172.635
912,188.147
913,242.504
914,158.971
915,272.857
916,269.054
917,191.943
918,200.225
919,243.176
920,153.556
921,178.325
922,161.617
923,195.227
924,256.14
925,257.836
926,179.487
927,173.937
928,154.797
929,223.666
930,264.426
931,158.245
932,220.715
933,187.647
934,212.471
935,212.757
936,198.687
937,252.29
938,229.284
939,161.706
940,193.409
941,235.051
942,265.528
943,244.148
944,141.108
945,137.034
946,288.407
947,164.735
948,147.043
949,151.733
950,264.362
951,243.172
952,283.672
953,207.937
954,213.375
955,199.207
956,198.927
957,150.072
958,204.111
959,142.854
960,258.883
961,203.71
962,279.167
963,227.234
964,210.259
965,118.318
966,203.344
967,263.616
968,210.642
969,209.495
970,247.048
971,311.574
972,231.97
973,204.395
974,191.386
975,235.977
976,236.067
977,239.265
978,168.114
979,252.47
980,177.355
981,185.412
982,198.996
983,139.322
984,144.349
985,271.316
986,178.863
987,200.047
988,225.569
989,296.966
990,314.075
991,242.22
992,162.311
993,176.857
994,245.173
995,264.036
996,170.274
997,162.77
998,189.034
999,185.42
